CountryName,RegionName,Date,PredictedDailyNewCases,PredictedDailyNewRatios
Aruba,,2021-04-19,0,1.0667365789413452
Aruba,,2021-04-20,31,1.0665841102600098
Aruba,,2021-04-21,23,1.066044569015503
Aruba,,2021-04-22,45,1.0556414127349854
Aruba,,2021-04-23,10,1.0464351177215576
Aruba,,2021-04-24,11,1.0386204719543457
Aruba,,2021-04-25,0,1.032679557800293
Aruba,,2021-04-26,0,1.0291587114334106
Aruba,,2021-04-27,2,1.0240859985351562
Aruba,,2021-04-28,0,1.0199470520019531
Aruba,,2021-04-29,26,1.016903519630432
Aruba,,2021-04-30,0,1.0143163204193115
Aruba,,2021-05-01,0,1.0121088027954102
Aruba,,2021-05-02,0,1.01003897190094
Aruba,,2021-05-03,0,1.0082002878189087
Afghanistan,,2021-04-19,250,1.022519588470459
Afghanistan,,2021-04-20,137,1.019296169281006
Afghanistan,,2021-04-21,141,1.0172686576843262
Afghanistan,,2021-04-22,53,1.0138622522354126
Afghanistan,,2021-04-23,87,1.0114195346832275
Afghanistan,,2021-04-24,115,1.008453130722046
Afghanistan,,2021-04-25,77,1.0068058967590332
Afghanistan,,2021-04-26,254,1.005076885223389
Afghanistan,,2021-04-27,139,1.003697156906128
Afghanistan,,2021-04-28,142,1.0021151304244995
Afghanistan,,2021-04-29,53,1.0010206699371338
Afghanistan,,2021-04-30,86,0.999655544757843
Afghanistan,,2021-05-01,113,0.99870365858078
Afghanistan,,2021-05-02,74,0.9974044561386108
Afghanistan,,2021-05-03,250,0.9963723421096802
Angola,,2021-04-19,252,1.0155534744262695
Angola,,2021-04-20,163,1.0153011083602903
Angola,,2021-04-21,158,1.0146970748901367
Angola,,2021-04-22,121,1.0116382837295532
Angola,,2021-04-23,179,1.0085773468017578
Angola,,2021-04-24,182,1.0061408281326294
Angola,,2021-04-25,91,1.0045037269592283
Angola,,2021-04-26,253,1.0034664869308472
Angola,,2021-04-27,162,1.0017595291137695
Angola,,2021-04-28,155,1.000489354133606
Angola,,2021-04-29,117,0.9991148114204408
Angola,,2021-04-30,174,0.998169243335724
Angola,,2021-05-01,175,0.9969373941421508
Angola,,2021-05-02,80,0.995919942855835
Angola,,2021-05-03,241,0.9948128461837769
Albania,,2021-04-19,0,0.9725292325019836
Albania,,2021-04-20,205,0.9717931747436525
Albania,,2021-04-21,178,0.9717061519622804
Albania,,2021-04-22,142,0.972107470035553
Albania,,2021-04-23,153,0.972624897956848
Albania,,2021-04-24,124,0.9729889035224916
Albania,,2021-04-25,114,0.9733143448829652
Albania,,2021-04-26,0,0.9734988808631896
Albania,,2021-04-27,182,0.9738075137138368
Albania,,2021-04-28,156,0.9740672707557678
Albania,,2021-04-29,120,0.9743388295173644
Albania,,2021-04-30,132,0.974580466747284
Albania,,2021-05-01,104,0.9748368859291076
Albania,,2021-05-02,95,0.9750586748123168
Albania,,2021-05-03,0,0.9753140211105348
Andorra,,2021-04-19,0,1.040495753288269
Andorra,,2021-04-20,20,1.0394140481948853
Andorra,,2021-04-21,14,1.038380146026611
Andorra,,2021-04-22,0,1.0322185754776
Andorra,,2021-04-23,57,1.0260637998580933
Andorra,,2021-04-24,45,1.02116858959198
Andorra,,2021-04-25,21,1.0181111097335815
Andorra,,2021-04-26,0,1.0160027742385864
Andorra,,2021-04-27,7,1.0129950046539309
Andorra,,2021-04-28,1,1.010475754737854
Andorra,,2021-04-29,0,1.0084658861160278
Andorra,,2021-04-30,45,1.0067636966705322
Andorra,,2021-05-01,34,1.0051133632659912
Andorra,,2021-05-02,0,1.0035823583602903
Andorra,,2021-05-03,0,1.0021172761917114
United Arab Emirates,,2021-04-19,0,1.3816372156143188
United Arab Emirates,,2021-04-20,1661,1.381026029586792
United Arab Emirates,,2021-04-21,1444,1.38042414188385
